descripcion,categoria,tipo,cualidad,monto,fecha
corte de cabello en barberia,ocio,gasto,variable,35,6/27/2026
desayuno chicharron en lurin,alimentacion,gasto,variable,65,6/26/2026
pasaje taxi colectivo a la victoria,transporte,gasto,variable,6,6/25/2026
compra en mifarma analgesicos,salud,gasto,variable,22.5,6/24/2026
cuota prestamo personal interbank,deudas,gasto,variable,380,6/23/2026
gas propano balon solgas,vivienda,gasto,variable,55,6/22/2026
curso ingles britanico mensualidad,educacion,gasto,variable,290,6/21/2026
pago arbitrios municipales,vivienda,gasto,variable,65,6/20/2026
cebiche en huarique de chorrillos,alimentacion,gasto,variable,48,6/19/2026
yape a chofer de mototaxi,transporte,gasto,variable,4,6/19/2026
ingreso por venta de ropa usada,ocio,ingreso,variable,120,6/18/2026
pension colegio de los ninos,educacion,gasto,variable,550,6/17/2026
reparacion fuga de agua gasfitero,vivienda,gasto,variable,90,6/16/2026
almuerzo chifa central lince,alimentacion,gasto,variable,38,6/15/2026
pago de sueldo quincena bcp,servicios,ingreso,fijo_vital,1800,6/15/2026
compra de utiles escolares en tai loy,educacion,gasto,variable,78.5,6/14/2026
entrada a concierto en estadio nacional,ocio,gasto,variable,180,6/12/2026
viaje de fin de semana a lunahuana,ocio,gasto,variable,320,6/11/2026
pasaje pasamayito combi,transporte,gasto,variable,3.5,6/10/2026
pago gas natural calidda,servicios,gasto,variable,38,6/9/2026
analisis de laboratorio roe,salud,gasto,variable,150,6/8/2026
compra en supermercado tottus,alimentacion,gasto,variable,210.4,6/7/2026
recarga tarjeta lima pass,transporte,gasto,variable,20,6/6/2026
venta de postres caseros,alimentacion,ingreso,variable,230,6/5/2026
pago seguro de salud eps,salud,gasto,variable,210,6/4/2026
compra de zapatillas en ripley,ocio,gasto,variable,229,6/3/2026
salida a bar en barranco,ocio,gasto,variable,95,6/2/2026
pago de sueldo fin de mes bcp,servicios,ingreso,fijo_vital,1800,5/31/2026
alquiler de cancha de padel,ocio,gasto,variable,60,5/30/2026
recibo de agua sedapal,servicios,gasto,variable,82,5/28/2026
compra en mercado de productores santa anita,alimentacion,gasto,variable,185,5/27/2026
pasaje combi abancay,transporte,gasto,variable,2,5/26/2026
pago plan postpago entel,servicios,gasto,variable,59.9,5/25/2026
tarjeta ripley pago minimo,deudas,gasto,variable,210,5/24/2026
reparacion de llanta pinchada taller,transporte,gasto,variable,15,5/23/2026
compra libro en libreria crisol,educacion,gasto,variable,59,5/22/2026
plato mostrito en polleria de barrio,alimentacion,gasto,variable,14,5/21/2026
atencion odontologica limpieza,salud,gasto,variable,100,5/20/2026
pago de mantenimiento auto taller,transporte,gasto,variable,350,5/19/2026
servicio de lavanderia por kilo,vivienda,gasto,variable,28,5/18/2026
pago matricula senati,educacion,gasto,fijo_vital,320,5/17/2026
pago alquiler departamento lince,vivienda,gasto,fijo_vital,1400,5/15/2026
pago de sueldo quincena bcp,servicios,ingreso,fijo_vital,1800,5/15/2026
yape a empanadas y cafe en la calle,alimentacion,gasto,variable,9.5,5/14/2026
gasolinera primax tanqueo parcial,transporte,gasto,variable,80,5/13/2026
suscripcion spotify premium,ocio,gasto,fijo_no_vital,20.9,5/12/2026
compra ropa de abrigo en gamarra,ocio,gasto,variable,145,5/11/2026
manta de alpaca regalo,ocio,gasto,variable,85,5/10/2026
pago impuesto predial sat,vivienda,gasto,variable,112,5/9/2026
veterinaria vacuna perro,salud,gasto,variable,65,5/8/2026
pago cuota prestamo falabella,deudas,gasto,variable,290,5/7/2026
compras semanales metro,alimentacion,gasto,variable,195,5/6/2026
pasaje linea 1 metro de lima,transporte,gasto,variable,1.5,5/5/2026
clases de natacion academia,educacion,gasto,variable,160,5/4/2026
pago seguro vehicular rÃ­mac,transporte,gasto,variable,180,5/3/2026
pago de sueldo fin de mes bcp,servicios,ingreso,fijo_vital,1800,4/30/2026
almuerzo makis libre miraflores,alimentacion,gasto,variable,65,4/29/2026
recibo luz enel,servicios,gasto,variable,135,4/28/2026
cambio de aceite carro,transporte,gasto,variable,110,4/27/2026
yape helado d'onofrio en parque,alimentacion,gasto,variable,6,4/26/2026
pago de internet movistar,servicios,gasto,variable,89,4/25/2026
pago tarjeta bbva cuota,deudas,gasto,variable,520,4/24/2026
compra zapatillas running marathon,ocio,gasto,variable,310,4/23/2026
pension universidad san marcos,educacion,gasto,variable,110,4/22/2026
examen de vista optica,salud,gasto,variable,50,4/21/2026
lentes de medida nuevos,salud,gasto,variable,280,4/20/2026
salida a bowling plaza norte,ocio,gasto,variable,35,4/19/2026
compras de verduras en mercado local,alimentacion,gasto,variable,42,4/18/2026
platinazo de anticuchos en la esquina,alimentacion,gasto,variable,18,4/17/2026
ingreso por asesoria profesional externa,servicios,ingreso,variable,600,4/16/2026
pago alquiler departamento lince,vivienda,gasto,variable,1400,4/15/2026
pago de sueldo quincena bcp,servicios,ingreso,fijo_vital,1800,4/15/2026
gastos de cerrajero cambio de chapa,vivienda,gasto,variable,75,4/14/2026
pasaje aplicativo cabify,transporte,gasto,variable,22,4/13/2026
recarga tarjeta metropolitano,transporte,gasto,variable,30,4/12/2026
pago servicio streaming disney plus,ocio,gasto,variable,27.9,4/11/2026
saldo a favor cashback tarjeta,servicios,ingreso,variable,35,4/10/2026
reparacion de laptop en wilson,educacion,gasto,variable,140,4/9/2026
compra de carne en carniceria,alimentacion,gasto,variable,68,4/8/2026
pago cuota credito hipotecario,deudas,gasto,variable,1650,4/7/2026
matrÃ­cula taller de pintura,educacion,gasto,variable,120,4/6/2026
medicina jarabe para la tos inkafarma,salud,gasto,variable,28,4/5/2026
pago gas natural calidda,servicios,gasto,variable,35,4/4/2026
taxi colectivo hacia centro de lima,transporte,gasto,variable,7,4/3/2026
pago de sueldo fin de mes bcp,servicios,ingreso,fijo_vital,1800,3/31/2026
almuerzo caldo de gallina la victoria,alimentacion,gasto,variable,18,3/30/2026
pension colegio de los ninos,educacion,gasto,variable,550,3/29/2026
compra en makro por mayor,alimentacion,gasto,variable,340,3/28/2026
tarjeta diners pago mensual,deudas,gasto,variable,310,3/27/2026
recibo de agua sedapal,servicios,gasto,variable,79,3/26/2026
compra de focos led promart,vivienda,gasto,variable,45,3/25/2026
yape a emolientero de la maÃ±ana,alimentacion,gasto,variable,3.5,3/24/2026
polera de marca promart,ocio,gasto,variable,89,3/23/2026
consulta dermatologica clinica,salud,gasto,variable,130,3/22/2026
bloqueador solar en boticas peru,salud,gasto,variable,52,3/21/2026
salida a parque de las leyendas,ocio,gasto,variable,48,3/20/2026
pasaje combi angamos,transporte,gasto,variable,2.5,3/19/2026
pago de luz enel,servicios,gasto,variable,128,3/18/2026
pago mantenimiento departamento,vivienda,gasto,variable,180,3/17/2026
venta de bicicleta usada olx,ocio,ingreso,variable,350,3/16/2026
pago alquiler departamento lince,vivienda,gasto,variable,1400,3/15/2026
pago de sueldo quincena bcp,servicios,ingreso,fijo_vital,1800,3/15/2026
desayuno tamales domingo,alimentacion,gasto,variable,16,3/14/2026
peaje vÃ­a de evitamiento,transporte,gasto,variable,6.6,3/13/2026
gasolina repsol 95 octanos,transporte,gasto,variable,120,3/12/2026
compras wong fin de semana,alimentacion,gasto,variable,260,3/11/2026
pago suscripcion hbo max,ocio,gasto,fijo_no_vital,29.9,3/10/2026
cuota prestamo banco de comercio,deudas,gasto,variable,220,3/9/2026
reparacion de pintura de pared,vivienda,gasto,variable,150,3/8/2026
atencion urgencias clinica,salud,gasto,variable,200,3/7/2026
compra de cuaderno y lapiceros,educacion,gasto,variable,15,3/6/2026
pago de celular postpago movistar,servicios,gasto,variable,65,3/5/2026
pago de sueldo fin de mes bcp,servicios,ingreso,fijo_vital,1800,2/28/2026
salida a polleria norky's,alimentacion,gasto,variable,72,2/27/2026
pasaje linea 1 metro,transporte,gasto,variable,1.5,2/26/2026
tarjeta oh pago cuota,deudas,gasto,variable,180,2/25/2026
compra en mass productos basicos,alimentacion,gasto,variable,88.5,2/24/2026
yape por picarones en parque,alimentacion,gasto,variable,10,2/23/2026
pago mensualidad gimnasio smartfit,salud,gasto,variable,109,2/22/2026
pension universidad san marcos,educacion,gasto,variable,110,2/21/2026
recibo agua sedapal,servicios,gasto,variable,81,2/20/2026
pago gas calidda,servicios,gasto,variable,32,2/19/2026
viaje en uber nocturno,transporte,gasto,variable,28,2/18/2026
almuerzo menestron y segundo en mercado,alimentacion,gasto,variable,12,2/17/2026
devolucion de dinero prestado por amigo,servicios,ingreso,variable,100,2/16/2026
pago alquiler departamento lince,vivienda,gasto,variable,1400,2/15/2026
pago de sueldo quincena bcp,servicios,ingreso,fijo_vital,1800,2/15/2026
compra de sabanas en falabella,vivienda,gasto,variable,110,2/14/2026
cena romantica dia del amor san isidro,ocio,gasto,variable,220,2/14/2026
pago plan internet bitel casa,servicios,gasto,variable,79,2/13/2026
vitamina c e inmunofem farmacias universal,salud,gasto,variable,45,2/12/2026
pasaje combi grau,transporte,gasto,variable,2,2/11/2026
pago mantenimiento carro frenos,transporte,gasto,variable,280,2/10/2026
salida a piscina en cieneguilla,ocio,gasto,variable,130,2/9/2026
compra en vivanda,alimentacion,gasto,variable,175,2/8/2026
pago tarjeta cencosud,deudas,gasto,variable,140,2/7/2026
inscripcion a maraton de lima,ocio,gasto,variable,80,2/6/2026
curso udemy desarrollo web,educacion,gasto,variable,49.9,2/5/2026
pago de sueldo fin de mes bcp,servicios,ingreso,fijo_vital,1800,1/31/2026
pago seguro vida ley,salud,gasto,variable,85,1/30/2026
compras en bodega cerca a casa,alimentacion,gasto,variable,28,1/29/2026
salida a discoteca miraflores,ocio,gasto,variable,150,1/28/2026
recibo luz del sur,servicios,gasto,variable,140,1/27/2026
pasaje combi aviaciÃ³n,transporte,gasto,variable,2.5,1/26/2026
compra de pescado en minka callao,alimentacion,gasto,variable,75,1/25/2026
yape por raspadilla en la playa,alimentacion,gasto,variable,5,1/24/2026
peaje ticket viaje sur,transporte,gasto,variable,6.6,1/23/2026
alquiler casa de playa fin de semana,ocio,gasto,variable,450,1/22/2026
gasolina primax,transporte,gasto,variable,110,1/21/2026
pago tarjeta bcp saldo total,deudas,gasto,variable,680,1/20/2026
medicina antigripal mifarma,salud,gasto,variable,18,1/19/2026
compras quincena plaza vea,alimentacion,gasto,variable,290,1/18/2026
pago matricula colegio ninos,educacion,gasto,variable,600,1/17/2026
trabajo independiente traduccion texto,servicios,ingreso,variable,300,1/16/2026
pago alquiler departamento lince,vivienda,gasto,variable,1400,1/15/2026
pago de sueldo quincena bcp,servicios,ingreso,fijo_vital,1800,1/15/2026
compra ventilador sodimac,vivienda,gasto,variable,129,1/14/2026
almuerzo ceviche y jora,alimentacion,gasto,variable,55,1/13/2026
pago servicio agua sedapal,servicios,gasto,variable,83,1/12/2026
soat digital auto interseguro,transporte,gasto,variable,95,1/11/2026
recarga tarjeta lima pass,transporte,gasto,variable,25,1/10/2026
compra de mochila para el colegio,educacion,gasto,variable,89,1/9/2026
pago plan movistar hogar,servicios,gasto,variable,99,1/8/2026
cuota credito consumo bbva,deudas,gasto,variable,410,1/7/2026
pago gratificacion navidad acumulado,servicios,ingreso,variable,1800,1/5/2026
salida a juego de escape room,ocio,gasto,variable,50,1/4/2026
pago de sueldo fin de mes bcp,servicios,ingreso,fijo_vital,1800,12/31/2025
cena fin de ano pavo y ensalada,alimentacion,gasto,variable,180,12/30/2025
uvas y cotillon para senambles,ocio,gasto,variable,35,12/29/2025
compras de regalos de navidad ripley,ocio,gasto,variable,420,12/24/2025
paneton d'onofrio en caja,alimentacion,gasto,variable,32,12/23/2025
pago luz enel,servicios,gasto,variable,130,12/22/2025
pago agua sedapal,servicios,gasto,variable,80,12/21/2025
pago tarjeta bcp,deudas,gasto,variable,550,12/20/2025
pago alquiler departamento lince,vivienda,gasto,variable,1400,12/15/2025
pago de sueldo quincena bcp,ingreso,ingreso,fijo_vital,1800,12/15/2025
ingreso gratificacion diciembre,ingreso,ingreso,variable,1800,12/15/2025
pago mantenimiento edificio,vivienda,gasto,variable,180,12/14/2025
pasaje metropolitano,transporte,gasto,variable,3.5,12/13/2025
compras metro utiles hogar,alimentacion,gasto,variable,210,12/12/2025
almuerzo pollo a la brasa villa chicken,alimentacion,gasto,variable,79,12/11/2025
pago plan entel,servicios,gasto,variable,59.9,12/10/2025
compra zapatillas converse oferta,ocio,gasto,variable,169,12/9/2025
consulta ginecologica / urologica,salud,gasto,variable,140,12/8/2025
medicina inkafarma recetada,salud,gasto,variable,72,12/7/2025
pension colegio de los ninos,educacion,gasto,variable,550,12/6/2025
pasaje taxi indrive a miraflores,transporte,gasto,variable,18,12/5/2025
venta de televisor viejo,ocio,ingreso,variable,400,12/4/2025
pago gas calidda,servicios,gasto,variable,34,12/3/2025
pago de sueldo fin de mes bcp,servicios,ingreso,fijo_vital,1800,11/30/2025
recibo luz enel,servicios,gasto,fijo_vital,125,11/28/2025
recibo agua sedapal,servicios,gasto,fijo_vital,78,11/27/2025
pasaje combi universitaria,transporte,gasto,variable,2,11/26/2025
pago cuota prestamo interbank,deudas,gasto,variable,380,11/25/2025
almuerzo buffet criollo,alimentacion,gasto,variable,62,11/24/2025
yape pago cancha sintÃ©tica,ocio,gasto,variable,20,11/23/2025
compras tottus fin de semana,alimentacion,gasto,variable,230,11/22/2025
pension universidad san marcos,educacion,gasto,variable,110,11/21/2025
pago internet claro,servicios,gasto,variable,95,11/20/2025
analisis de sangre laboratorio,salud,gasto,variable,90,11/19/2025
compra foco y herramientas maestro,vivienda,gasto,variable,65,11/18/2025
desayuno pan con chicharron esquina,alimentacion,gasto,variable,12,11/17/2025
pago alquiler departamento lince,vivienda,gasto,variable,1400,11/15/2025
pago de sueldo quincena bcp,servicios,ingreso,fijo_vital,1800,11/15/2025
ingreso cts deposito bancario,servicios,ingreso,variable,900,11/15/2025
reparacion de freno de mano carro,transporte,gasto,variable,130,11/14/2025
gasolina primax 90,transporte,gasto,variable,90,11/13/2025
pago seguro medico rimac,salud,gasto,variable,210,11/12/2025
salida a teatro en barranco,ocio,gasto,variable,60,11/11/2025
yape a emoliente y pan con queso,alimentacion,gasto,variable,4.5,11/10/2025
compras en tambo snacks,alimentacion,gasto,variable,11.2,11/9/2025
pago tarjeta falabella cuota,deudas,gasto,variable,250,11/8/2025
recarga bitel internet,servicios,gasto,variable,20,11/7/2025
compra libro tecnico programacion,educacion,gasto,variable,85,11/6/2025
pago gas calidda,servicios,gasto,variable,31,11/5/2025
pago de sueldo fin de mes bcp,servicios,ingreso,fijo_vital,1800,10/31/2025
turron de dona pepa san josÃ©,alimentacion,gasto,variable,25,10/30/2025
almuerzo anticuchos seÃ±or de los milagros,alimentacion,gasto,variable,32,10/29/2025
pasaje metropolitano alimentador,transporte,gasto,variable,1.5,10/28/2025
recibo luz del sur,servicios,gasto,variable,138,10/27/2025
recibo sedapal agua,servicios,gasto,variable,84,10/26/2025
compra de verduras y carnes mercado,alimentacion,gasto,variable,160,10/25/2025
cuota prestamo consumo bbva,deudas,gasto,variable,410,10/24/2025
atencion medica pediatraria nino,salud,gasto,variable,110,10/23/2025
jarabe y vitaminas boticas peru,salud,gasto,variable,54,10/22/2025
pension colegio de los ninos,educacion,gasto,variable,550,10/21/2025
pago mantenimiento edificio,vivienda,gasto,variable,180,10/20/2025
pago internet fibra optica,servicios,gasto,variable,89,10/19/2025
suscripcion spotify,ocio,gasto,fijo_no_vital,20.9,10/18/2025
almuerzo chifa menu familiar,alimentacion,gasto,variable,58,10/17/2025
pago alquiler departamento lince,vivienda,gasto,variable,1400,10/15/2025
pago de sueldo quincena bcp,servicios,ingreso,fijo_vital,1800,10/15/2025
ingreso por dictado de taller online,educacion,ingreso,variable,450,10/14/2025
pasaje taxi yango,transporte,gasto,variable,14,10/13/2025
gasolina shell 95,transporte,gasto,variable,100,10/12/2025
compra en plaza vea abarrotes,alimentacion,gasto,variable,240,10/11/2025
atencion veterinaria gato,salud,gasto,variable,70,10/10/2025
pago tarjeta ripley cuota,deudas,gasto,variable,190,10/9/2025
compra de pintura para retoque cuarto,vivienda,gasto,variable,68,10/8/2025
recarga tarjeta lima pass,transporte,gasto,variable,20,10/7/2025
pago gas calidda,servicios,gasto,variable,33,10/6/2025
salida a cine uvk,ocio,gasto,variable,38,10/5/2025
pago de sueldo fin de mes bcp,servicios,ingreso,fijo_vital,1800,9/30/2025
pago cuota credito hipotecario,deudas,gasto,variable,1650,9/29/2025
recibo agua sedapal,servicios,gasto,variable,82,9/28/2025
recibo luz enel,servicios,gasto,variable,131,9/27/2025
pasaje linea 1 metro,transporte,gasto,variable,1.5,9/26/2025
compras semanales wong,alimentacion,gasto,variable,210,9/25/2025
almuerzo menu ejecutivo lince,alimentacion,gasto,variable,15,9/24/2025
yape a vendedor de marcoyas y frutas,alimentacion,gasto,variable,6,9/23/2025
pension universidad san marcos,educacion,gasto,variable,110,9/22/2025
examen medico anual preventivo,salud,gasto,variable,180,9/21/2025
medicina inkafarma,salud,gasto,variable,42,9/20/2025
pago celular entel,servicios,gasto,variable,59.9,9/19/2025
compra de escritorio para estudio,vivienda,gasto,variable,220,9/18/2025
pago mantenimiento departamento,vivienda,gasto,variable,180,9/17/2025
salida a concierto local de cumbia,ocio,gasto,variable,50,9/16/2025
pago alquiler departamento lince,vivienda,gasto,variable,1400,9/15/2025
